HolderFragment,android.arch.lifecycle.HolderFragment,androidx.lifecycle.HolderFragment
DynamicAnimation,android.support.animation.DynamicAnimation,androidx.dynamicanimation.animation.DynamicAnimation
FlingAnimation,android.support.animation.FlingAnimation,androidx.dynamicanimation.animation.FlingAnimation
FloatPropertyCompat,android.support.animation.FloatPropertyCompat,androidx.dynamicanimation.animation.FloatPropertyCompat
FloatValueHolder,android.support.animation.FloatValueHolder,androidx.dynamicanimation.animation.FloatValueHolder
SpringAnimation,android.support.animation.SpringAnimation,androidx.dynamicanimation.animation.SpringAnimation
SpringForce,android.support.animation.SpringForce,androidx.dynamicanimation.animation.SpringForce
Dimension,android.support.annotation.Dimension,androidx.annotation.Dimension
VisibleForTesting,android.support.annotation.VisibleForTesting,androidx.annotation.VisibleForTesting
AnimationUtils,android.support.design.animation.AnimationUtils,com.google.android.material.animation.AnimationUtils
AnimatorSetCompat,android.support.design.animation.AnimatorSetCompat,com.google.android.material.animation.AnimatorSetCompat
ArgbEvaluatorCompat,android.support.design.animation.ArgbEvaluatorCompat,com.google.android.material.animation.ArgbEvaluatorCompat
ChildrenAlphaProperty,android.support.design.animation.ChildrenAlphaProperty,com.google.android.material.animation.ChildrenAlphaProperty
DrawableAlphaProperty,android.support.design.animation.DrawableAlphaProperty,com.google.android.material.animation.DrawableAlphaProperty
ImageMatrixProperty,android.support.design.animation.ImageMatrixProperty,com.google.android.material.animation.ImageMatrixProperty
MatrixEvaluator,android.support.design.animation.MatrixEvaluator,com.google.android.material.animation.MatrixEvaluator
MotionSpec,android.support.design.animation.MotionSpec,com.google.android.material.animation.MotionSpec
MotionTiming,android.support.design.animation.MotionTiming,com.google.android.material.animation.MotionTiming
Positioning,android.support.design.animation.Positioning,com.google.android.material.animation.Positioning
HideBottomViewOnScrollBehavior,android.support.design.behavior.HideBottomViewOnScrollBehavior,com.google.android.material.behavior.HideBottomViewOnScrollBehavior
BottomAppBar,android.support.design.bottomappbar.BottomAppBar,com.google.android.material.bottomappbar.BottomAppBar
BottomAppBarTopEdgeTreatment,android.support.design.bottomappbar.BottomAppBarTopEdgeTreatment,com.google.android.material.bottomappbar.BottomAppBarTopEdgeTreatment
LabelVisibilityMode,android.support.design.bottomnavigation.LabelVisibilityMode,com.google.android.material.bottomnavigation.LabelVisibilityMode
MaterialButton,android.support.design.button.MaterialButton,com.google.android.material.button.MaterialButton
CanvasCompat,android.support.design.canvas.CanvasCompat,com.google.android.material.canvas.CanvasCompat
MaterialCardView,android.support.design.card.MaterialCardView,com.google.android.material.card.MaterialCardView
Chip,android.support.design.chip.Chip,com.google.android.material.chip.Chip
ChipDrawable,android.support.design.chip.ChipDrawable,com.google.android.material.chip.ChipDrawable
ChipGroup,android.support.design.chip.ChipGroup,com.google.android.material.chip.ChipGroup
CircularRevealCardView,android.support.design.circularreveal.cardview.CircularRevealCardView,com.google.android.material.circularreveal.cardview.CircularRevealCardView
CircularRevealCompat,android.support.design.circularreveal.CircularRevealCompat,com.google.android.material.circularreveal.CircularRevealCompat
CircularRevealFrameLayout,android.support.design.circularreveal.CircularRevealFrameLayout,com.google.android.material.circularreveal.CircularRevealFrameLayout
CircularRevealGridLayout,android.support.design.circularreveal.CircularRevealGridLayout,com.google.android.material.circularreveal.CircularRevealGridLayout
CircularRevealHelper,android.support.design.circularreveal.CircularRevealHelper,com.google.android.material.circularreveal.CircularRevealHelper
CircularRevealLinearLayout,android.support.design.circularreveal.CircularRevealLinearLayout,com.google.android.material.circularreveal.CircularRevealLinearLayout
