ArchTaskExecutor,android.arch.core.executor.ArchTaskExecutor,androidx.arch.core.executor.ArchTaskExecutor,Android.Arch.Core.Executor.ArchTaskExecutor,AndroidX.Arch.Core.Executor.ArchTaskExecutor,Android.Arch.Core.Executor,AndroidX.Arch.Core.Executor
DefaultTaskExecutor,android.arch.core.executor.DefaultTaskExecutor,androidx.arch.core.executor.DefaultTaskExecutor,Android.Arch.Core.Executor.DefaultTaskExecutor,AndroidX.Arch.Core.Executor.DefaultTaskExecutor,Android.Arch.Core.Executor,AndroidX.Arch.Core.Executor
JunitTaskExecutorRule,android.arch.core.executor.JunitTaskExecutorRule,androidx.arch.core.executor.JunitTaskExecutorRule,,,,
TaskExecutor,android.arch.core.executor.TaskExecutor,androidx.arch.core.executor.TaskExecutor,Android.Arch.Core.Executor.TaskExecutor,AndroidX.Arch.Core.Executor.TaskExecutor,Android.Arch.Core.Executor,AndroidX.Arch.Core.Executor
TaskExecutorWithFakeMainThread,android.arch.core.executor.TaskExecutorWithFakeMainThread,androidx.arch.core.executor.TaskExecutorWithFakeMainThread,,,,
CountingTaskExecutorRule,android.arch.core.executor.testing.CountingTaskExecutorRule,androidx.arch.core.executor.testing.CountingTaskExecutorRule,,,,
InstantTaskExecutorRule,android.arch.core.executor.testing.InstantTaskExecutorRule,androidx.arch.core.executor.testing.InstantTaskExecutorRule,,,,
FastSafeIterableMap,android.arch.core.internal.FastSafeIterableMap,androidx.arch.core.internal.FastSafeIterableMap,Android.Arch.Core.Internal.FastSafeIterableMap,AndroidX.Arch.Core.Internal.FastSafeIterableMap,Android.Arch.Core.Internal,AndroidX.Arch.Core.Internal
SafeIterableMap,android.arch.core.internal.SafeIterableMap,androidx.arch.core.internal.SafeIterableMap,Android.Arch.Core.Internal.SafeIterableMap,AndroidX.Arch.Core.Internal.SafeIterableMap,Android.Arch.Core.Internal,AndroidX.Arch.Core.Internal
Function,android.arch.core.util.Function,androidx.arch.core.util.Function,,,,
AndroidViewModel,android.arch.lifecycle.AndroidViewModel,androidx.lifecycle.AndroidViewModel,Android.Arch.Lifecycle.AndroidViewModel,AndroidX.Lifecycle.AndroidViewModel,Android.Arch.Lifecycle,AndroidX.Lifecycle
ClassesInfoCache,android.arch.lifecycle.ClassesInfoCache,androidx.lifecycle.ClassesInfoCache,,,,
CompositeGeneratedAdaptersObserver,android.arch.lifecycle.CompositeGeneratedAdaptersObserver,androidx.lifecycle.CompositeGeneratedAdaptersObserver,Android.Arch.Lifecycle.CompositeGeneratedAdaptersObserver,AndroidX.Lifecycle.CompositeGeneratedAdaptersObserver,Android.Arch.Lifecycle,AndroidX.Lifecycle
ComputableLiveData,android.arch.lifecycle.ComputableLiveData,androidx.lifecycle.ComputableLiveData,Android.Arch.Lifecycle.ComputableLiveData,AndroidX.Lifecycle.ComputableLiveData,Android.Arch.Lifecycle,AndroidX.Lifecycle
DefaultLifecycleObserver,android.arch.lifecycle.DefaultLifecycleObserver,androidx.lifecycle.DefaultLifecycleObserver,,,,
Elements_extKt,android.arch.lifecycle.Elements_extKt,androidx.lifecycle.Elements_extKt,,,,
EmptyActivityLifecycleCallbacks,android.arch.lifecycle.EmptyActivityLifecycleCallbacks,androidx.lifecycle.EmptyActivityLifecycleCallbacks,,,,
ErrorMessages,android.arch.lifecycle.ErrorMessages,androidx.lifecycle.ErrorMessages,,,,
FullLifecycleObserver,android.arch.lifecycle.FullLifecycleObserver,androidx.lifecycle.FullLifecycleObserver,,,,
FullLifecycleObserverAdapter,android.arch.lifecycle.FullLifecycleObserverAdapter,androidx.lifecycle.FullLifecycleObserverAdapter,,,,
GeneratedAdapter,android.arch.lifecycle.GeneratedAdapter,androidx.lifecycle.GeneratedAdapter,,,,
GenericLifecycleObserver,android.arch.lifecycle.GenericLifecycleObserver,androidx.lifecycle.GenericLifecycleObserver,,,,
HolderFragment,android.arch.lifecycle.HolderFragment,androidx.lifecycle.HolderFragment,,,,
Input_collectorKt,android.arch.lifecycle.Input_collectorKt,androidx.lifecycle.Input_collectorKt,,,,
Lifecycle,android.arch.lifecycle.Lifecycle,androidx.lifecycle.Lifecycle,Android.Arch.Lifecycle.Lifecycle,AndroidX.Lifecycle.Lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
LifecycleDispatcher,android.arch.lifecycle.LifecycleDispatcher,androidx.lifecycle.LifecycleDispatcher,,,,
LifecycleObserver,android.arch.lifecycle.LifecycleObserver,androidx.lifecycle.LifecycleObserver,,,,
LifecycleOwner,android.arch.lifecycle.LifecycleOwner,androidx.lifecycle.LifecycleOwner,,,,
LifecycleProcessor,android.arch.lifecycle.LifecycleProcessor,androidx.lifecycle.LifecycleProcessor,,,,
LifecycleRegistry,android.arch.lifecycle.LifecycleRegistry,androidx.lifecycle.LifecycleRegistry,Android.Arch.Lifecycle.LifecycleRegistry,AndroidX.Lifecycle.LifecycleRegistry,Android.Arch.Lifecycle,AndroidX.Lifecycle
LifecycleRegistryOwner,android.arch.lifecycle.LifecycleRegistryOwner,androidx.lifecycle.LifecycleRegistryOwner,,,,
LifecycleService,android.arch.lifecycle.LifecycleService,androidx.lifecycle.LifecycleService,Android.Arch.Lifecycle.LifecycleService,AndroidX.Lifecycle.LifecycleService,Android.Arch.Lifecycle,AndroidX.Lifecycle
Lifecycling,android.arch.lifecycle.Lifecycling,androidx.lifecycle.Lifecycling,Android.Arch.Lifecycle.Lifecycling,AndroidX.Lifecycle.Lifecycling,Android.Arch.Lifecycle,AndroidX.Lifecycle
LiveData,android.arch.lifecycle.LiveData,androidx.lifecycle.LiveData,Android.Arch.Lifecycle.LiveData,AndroidX.Lifecycle.LiveData,Android.Arch.Lifecycle,AndroidX.Lifecycle
LiveDataReactiveStreams,android.arch.lifecycle.LiveDataReactiveStreams,androidx.lifecycle.LiveDataReactiveStreams,,,,
MediatorLiveData,android.arch.lifecycle.MediatorLiveData,androidx.lifecycle.MediatorLiveData,Android.Arch.Lifecycle.MediatorLiveData,AndroidX.Lifecycle.MediatorLiveData,Android.Arch.Lifecycle,AndroidX.Lifecycle
MethodCallsLogger,android.arch.lifecycle.MethodCallsLogger,androidx.lifecycle.MethodCallsLogger,Android.Arch.Lifecycle.MethodCallsLogger,AndroidX.Lifecycle.MethodCallsLogger,Android.Arch.Lifecycle,AndroidX.Lifecycle
AdapterClass,android.arch.lifecycle.model.AdapterClass,androidx.lifecycle.model.AdapterClass,,,,
AdapterClassKt,android.arch.lifecycle.model.AdapterClassKt,androidx.lifecycle.model.AdapterClassKt,,,,
EventMethod,android.arch.lifecycle.model.EventMethod,androidx.lifecycle.model.EventMethod,,,,
EventMethodCall,android.arch.lifecycle.model.EventMethodCall,androidx.lifecycle.model.EventMethodCall,,,,
InputModel,android.arch.lifecycle.model.InputModel,androidx.lifecycle.model.InputModel,,,,
LifecycleObserverInfo,android.arch.lifecycle.model.LifecycleObserverInfo,androidx.lifecycle.model.LifecycleObserverInfo,,,,
MutableLiveData,android.arch.lifecycle.MutableLiveData,androidx.lifecycle.MutableLiveData,Android.Arch.Lifecycle.MutableLiveData,AndroidX.Lifecycle.MutableLiveData,Android.Arch.Lifecycle,AndroidX.Lifecycle
Observer,android.arch.lifecycle.Observer,androidx.lifecycle.Observer,,,,
ObserversCollector,android.arch.lifecycle.ObserversCollector,androidx.lifecycle.ObserversCollector,,,,
OnLifecycleEvent,android.arch.lifecycle.OnLifecycleEvent,androidx.lifecycle.OnLifecycleEvent,,,,
ProcessLifecycleOwner,android.arch.lifecycle.ProcessLifecycleOwner,androidx.lifecycle.ProcessLifecycleOwner,Android.Arch.Lifecycle.ProcessLifecycleOwner,AndroidX.Lifecycle.ProcessLifecycleOwner,Android.Arch.Lifecycle,AndroidX.Lifecycle
ProcessLifecycleOwnerInitializer,android.arch.lifecycle.ProcessLifecycleOwnerInitializer,androidx.lifecycle.ProcessLifecycleOwnerInitializer,Android.Arch.Lifecycle.ProcessLifecycleOwnerInitializer,AndroidX.Lifecycle.ProcessLifecycleOwnerInitializer,Android.Arch.Lifecycle,AndroidX.Lifecycle
ReflectiveGenericLifecycleObserver,android.arch.lifecycle.ReflectiveGenericLifecycleObserver,androidx.lifecycle.ReflectiveGenericLifecycleObserver,,,,
ReportFragment,android.arch.lifecycle.ReportFragment,androidx.lifecycle.ReportFragment,Android.Arch.Lifecycle.ReportFragment,AndroidX.Lifecycle.ReportFragment,Android.Arch.Lifecycle,AndroidX.Lifecycle
