android.arch.core.executor,androidx.arch.core.executor,Android.Arch.Core.Executor,AndroidX.Arch.Core.Executor
android.arch.core.internal,androidx.arch.core.internal,Android.Arch.Core.Internal,AndroidX.Arch.Core.Internal
android.arch.lifecycle,androidx.lifecycle,Android.Arch.Lifecycle,AndroidX.Lifecycle
android.support.app.recommendation,androidx.recommendation.app,Android.Support.App.Recommendation,AndroidX.Recommendation.App
android.support.customtabs,androidx.browser.customtabs,Android.Support.CustomTabs,AndroidX.Browser.CustomTabs
android.support.customtabs,android.support.customtabs,Android.Support.CustomTabs,Android.Support.CustomTabs
android.support.design.widget,androidx.coordinatorlayout.widget,Android.Support.Design.Widget,AndroidX.CoordinatorLayout.Widget
android.support.graphics.drawable,androidx.vectordrawable.graphics.drawable,Android.Support.Graphics.Drawable,AndroidX.VectorDrawable.Graphics.Drawable
android.support.media.tv,androidx.tvprovider.media.tv,Android.Support.Media.TV,AndroidX.TvProvider.Media.TV
android.support.percent,androidx.percentlayout.widget,Android.Support.Percent,AndroidX.PercentLayout.Widget
android.support.text.emoji.bundled,androidx.emoji.bundled,Android.Support.Text.Emoji.Bundled,AndroidX.Emoji.Bundled
android.support.text.emoji,androidx.emoji.text,Android.Support.Text.Emoji,AndroidX.Emoji.Text
android.support.text.emoji.widget,androidx.emoji.widget,Android.Support.Text.Emoji.Widget,AndroidX.Emoji.Widget
android.support.v13.app,androidx.legacy.app,Android.Support.V13.App,AndroidX.Legacy.App
android.support.v13.view,androidx.core.view,Android.Support.V13.View,AndroidX.Core.View
android.support.v13.view.inputmethod,androidx.core.view.inputmethod,Android.Support.V13.View.Inputmethod,AndroidX.Core.View.InputMethod
android.support.v17.internal.widget,androidx.leanback.preference.internal,Android.Support.V17.Internal.Widget,AndroidX.Leanback.Preference.Internal
android.support.v17.leanback.animation,androidx.leanback.animation,Android.Support.V17.Leanback.Animation,AndroidX.Leanback.Animation
android.support.v17.leanback.app,androidx.leanback.app,Android.Support.V17.Leanback.App,AndroidX.Leanback.App
android.support.v17.leanback.database,androidx.leanback.database,Android.Support.V17.Leanback.Database,AndroidX.Leanback.Database
android.support.v17.leanback.graphics,androidx.leanback.graphics,Android.Support.V17.Leanback.Graphics,AndroidX.Leanback.Graphics
android.support.v17.leanback.media,androidx.leanback.media,Android.Support.V17.Leanback.Media,AndroidX.Leanback.Media
android.support.v17.leanback.system,androidx.leanback.system,Android.Support.V17.Leanback.System,AndroidX.Leanback.System
android.support.v17.leanback.transition,androidx.leanback.transition,Android.Support.V17.Leanback.Transition,AndroidX.Leanback.Transition
android.support.v17.leanback.util,androidx.leanback.util,Android.Support.V17.Leanback.Util,AndroidX.Leanback.Util
android.support.v17.leanback.widget,androidx.leanback.widget,Android.Support.V17.Leanback.Widget,AndroidX.Leanback.Widget
android.support.v17.leanback.widget.picker,androidx.leanback.widget.picker,Android.Support.V17.Leanback.Widget.Picker,AndroidX.Leanback.Widget.Picker
android.support.v4.accessibilityservice,androidx.core.accessibilityservice,Android.Support.V4.Accessibilityservice,AndroidX.Core.AccessibilityService
android.support.v4.app,androidx.legacy.app,Android.Support.V4.App,AndroidX.Legacy.App
android.support.v4.app,androidx.core.app,Android.Support.V4.App,AndroidX.Core.App
android.support.v4.app,androidx.fragment.app,Android.Support.V4.App,AndroidX.Fragment.App
android.support.v4.app,androidx.loader.app,Android.Support.V4.App,AndroidX.Loader.App
android.support.v4.content,androidx.loader.content,Android.Support.V4.Content,AndroidX.Loader.Content
android.support.v4.content,androidx.core.content,Android.Support.V4.Content,AndroidX.Core.Content
android.support.v4.content,androidx.localbroadcastmanager.content,Android.Support.V4.Content,AndroidX.LocalBroadcastManager.Content
android.support.v4.content.pm,androidx.core.content.pm,Android.Support.V4.Content.PM,AndroidX.Core.Content.PM
android.support.v4.content,androidx.legacy.content,Android.Support.V4.Content,AndroidX.Legacy.Content
android.support.v4.database,androidx.core.database,Android.Support.V4.Database,AndroidX.Core.Database
android.support.v4.graphics,androidx.core.graphics,Android.Support.V4.Graphics,AndroidX.Core.Graphics
android.support.v4.graphics.drawable,androidx.core.graphics.drawable,Android.Support.V4.Graphics.Drawable,AndroidX.Core.Graphics.Drawable
android.support.v4.graphics.drawable,android.support.v4.graphics.drawable,Android.Support.V4.Graphics.Drawable,Android.Support.V4.Graphics.Drawable
android.support.v4.hardware.display,androidx.core.hardware.display,Android.Support.V4.Hardware.Display,AndroidX.Core.Hardware.Display
android.support.v4.hardware.fingerprint,androidx.core.hardware.fingerprint,Android.Support.V4.Hardware.Fingerprint,AndroidX.Core.Hardware.Fingerprint
android.support.v4.internal.view,androidx.core.internal.view,Android.Support.V4.Internal.View,AndroidX.Core.Internal.View
android.support.v4.math,androidx.core.math,Android.Support.V4.Math,AndroidX.Core.Math
android.support.v4.media.app,androidx.media.app,Android.Support.V4.Media.App,AndroidX.Media.App
android.support.v4.media,android.support.v4.media,Android.Support.V4.Media,Android.Support.V4.Media
android.support.v4.media.session,android.support.v4.media.session,Android.Support.V4.Media.Session,Android.Support.V4.Media.Session
android.support.v4.media.session,androidx.media.session,Android.Support.V4.Media.Session,AndroidX.Media.Session
android.support.v4.net,androidx.core.net,Android.Support.V4.Net,AndroidX.Core.Net
android.support.v4.os,androidx.core.os,Android.Support.V4.OS,AndroidX.Core.OS
android.support.v4.print,androidx.print,Android.Support.V4.Print,AndroidX.Print
android.support.v4.provider,androidx.documentfile.provider,Android.Support.V4.Provider,AndroidX.DocumentFile.Provider
android.support.v4.provider,androidx.core.provider,Android.Support.V4.Provider,AndroidX.Core.Provider
android.support.v4.text,androidx.core.text,Android.Support.V4.Text,AndroidX.Core.Text
android.support.v4.text.util,androidx.core.text.util,Android.Support.V4.Text.Util,AndroidX.Core.Text.Util
android.support.v4.util,androidx.collection,Android.Support.V4.Util,AndroidX.Collection
android.support.v4.util,androidx.core.util,Android.Support.V4.Util,AndroidX.Core.Util
android.support.v4.view,androidx.customview.view,Android.Support.V4.View,AndroidX.CustomView.View
android.support.v4.view,androidx.core.view,Android.Support.V4.View,AndroidX.Core.View
android.support.v4.view.animation,androidx.interpolator.view.animation,Android.Support.V4.View.Animation,AndroidX.Interpolator.View.Animation
android.support.v4.view.animation,androidx.core.view.animation,Android.Support.V4.View.Animation,AndroidX.Core.View.Animation
android.support.v4.view,androidx.asynclayoutinflater.view,Android.Support.V4.View,AndroidX.AsyncLayoutInflater.View
android.support.v4.view,androidx.viewpager.widget,Android.Support.V4.View,AndroidX.ViewPager.Widget
android.support.v4.widget,androidx.core.widget,Android.Support.V4.Widget,AndroidX.Core.Widget
android.support.v4.widget,androidx.swiperefreshlayout.widget,Android.Support.V4.Widget,AndroidX.SwipeRefreshLayout.Widget
android.support.v4.widget,androidx.cursoradapter.widget,Android.Support.V4.Widget,AndroidX.CursorAdapter.Widget
android.support.v4.widget,androidx.coordinatorlayout.widget,Android.Support.V4.Widget,AndroidX.CoordinatorLayout.Widget
android.support.v4.widget,androidx.drawerlayout.widget,Android.Support.V4.Widget,AndroidX.DrawerLayout.Widget
android.support.v4.widget,androidx.customview.widget,Android.Support.V4.Widget,AndroidX.CustomView.Widget
android.support.v4.widget,androidx.slidingpanelayout.widget,Android.Support.V4.Widget,AndroidX.SlidingPaneLayout.Widget
android.support.v4.widget,androidx.legacy.widget,Android.Support.V4.Widget,AndroidX.Legacy.Widget
android.support.v7.app,androidx.appcompat.app,Android.Support.V7.App,AndroidX.AppCompat.App
android.support.v7.app,androidx.mediarouter.app,Android.Support.V7.App,AndroidX.MediaRouter.App
android.support.v7.content.res,androidx.appcompat.content.res,Android.Support.V7.Content.Res,AndroidX.AppCompat.Content.Res
android.support.v7.graphics,androidx.palette.graphics,Android.Support.V7.Graphics,AndroidX.Palette.Graphics
android.support.v7.internal.widget,androidx.preference.internal,Android.Support.V7.Internal.Widget,AndroidX.Preference.Internal
android.support.v7.media,androidx.mediarouter.media,Android.Support.V7.Media,AndroidX.MediaRouter.Media
android.support.v7.preference.internal,androidx.preference.internal,Android.Support.V7.Preference.Internal,AndroidX.Preference.Internal
android.support.v7.recyclerview.extensions,androidx.recyclerview.widget,Android.Support.V7.RecyclerView.Extensions,AndroidX.RecyclerView.Widget
android.support.v7.text,androidx.appcompat.text,Android.Support.V7.Text,AndroidX.AppCompat.Text
android.support.v7.util,androidx.recyclerview.widget,Android.Support.V7.Util,AndroidX.RecyclerView.Widget
android.support.v7.view,androidx.appcompat.view,Android.Support.V7.View,AndroidX.AppCompat.View
android.support.v7.view.menu,androidx.appcompat.view.menu,Android.Support.V7.View.Menu,AndroidX.AppCompat.View.Menu
android.support.v7.widget,androidx.appcompat.widget,Android.Support.V7.Widget,AndroidX.AppCompat.Widget
android.support.v7.widget,androidx.cardview.widget,Android.Support.V7.Widget,AndroidX.CardView.Widget
android.support.v7.widget,androidx.recyclerview.widget,Android.Support.V7.Widget,AndroidX.RecyclerView.Widget
android.support.v7.widget,androidx.gridlayout.widget,Android.Support.V7.Widget,AndroidX.GridLayout.Widget
android.support.v7.widget.helper,androidx.recyclerview.widget,Android.Support.V7.Widget.Helper,AndroidX.RecyclerView.Widget
android.support.v7.widget.util,androidx.recyclerview.widget,Android.Support.V7.Widget.Util,AndroidX.RecyclerView.Widget
android.support.wear.activity,androidx.wear.activity,Android.Support.Wear.Activity,AndroidX.Wear.Activity
android.support.wear.ambient,androidx.wear.ambient,Android.Support.Wear.Ambient,AndroidX.Wear.Ambient
android.support.wear.internal.widget.drawer,androidx.wear.internal.widget.drawer,Android.Support.Wear.Internal.Widget.Drawer,AndroidX.Wear.Internal.Widget.Drawer
android.support.wear.internal.widget,androidx.wear.internal.widget,Android.Support.Wear.Internal.Widget,AndroidX.Wear.Internal.Widget
android.support.wear.utils,androidx.wear.utils,Android.Support.Wear.Utils,AndroidX.Wear.Utils
android.support.wear.widget,androidx.wear.widget,Android.Support.Wear.Widget,AndroidX.Wear.Widget
android.support.wear.widget.drawer,androidx.wear.widget.drawer,Android.Support.Wear.Widget.Drawer,AndroidX.Wear.Widget.Drawer
